Rate ($/kg),Protein Source,Protein (g per 100g),Calories (kcal per 100g)
49.0,Chicken Breast,31,165
11.04,Chicken Breast,31,165
19.92,Chicken Breast,31,165
36.67,Tofu,8,76
16.52,Whey Protein,80,400
45.6,Eggs,13,155
24.14,Salmon,25,208
41.26,Lentils,9,116
41.14,Almonds,21,579
16.36,Beef,27,250
29.14,Chicken Breast,31,165
43.66,Beef,27,250
42.14,Lentils,9,116
46.17,Eggs,13,155
8.71,Greek Yogurt,10,59
6.38,Lentils,9,116
37.83,Tofu,8,76
43.55,Tofu,8,76
48.1,Whey Protein,80,400
29.84,Lentils,9,116
39.11,Almonds,21,579
28.89,Lentils,9,116
22.91,Peanut Butter,25,588
7.02,Greek Yogurt,10,59
49.58,Peanut Butter,25,588
7.31,Almonds,21,579
19.99,Greek Yogurt,10,59
43.99,Eggs,13,155
28.21,Greek Yogurt,10,59
43.3,Almonds,21,579
22.26,Greek Yogurt,10,59
6.18,Tofu,8,76
5.18,Eggs,13,155
27.01,Whey Protein,80,400
7.74,Chicken Breast,31,165
6.94,Greek Yogurt,10,59
18.36,Tofu,8,76
10.99,Greek Yogurt,10,59
35.15,Eggs,13,155
12.09,Tofu,8,76
27.23,Peanut Butter,25,588
37.04,Whey Protein,80,400
12.99,Greek Yogurt,10,59
34.9,Eggs,13,155
10.64,Lentils,9,116
33.31,Beef,27,250
29.48,Peanut Butter,25,588
13.27,Salmon,25,208
24.07,Eggs,13,155
29.91,Peanut Butter,25,588
33.06,Salmon,25,208
46.34,Peanut Butter,25,588
36.51,Peanut Butter,25,588
47.89,Eggs,13,155
11.67,Chicken Breast,31,165
47.45,Greek Yogurt,10,59
26.37,Beef,27,250
32.94,Salmon,25,208
37.25,Tofu,8,76
5.7,Whey Protein,80,400
41.44,Greek Yogurt,10,59
15.06,Almonds,21,579
40.93,Chicken Breast,31,165
47.6,Peanut Butter,25,588
27.66,Eggs,13,155
37.59,Tofu,8,76
49.25,Salmon,25,208
49.75,Chicken Breast,31,165
27.36,Peanut Butter,25,588
40.63,Eggs,13,155
28.12,Beef,27,250
6.06,Peanut Butter,25,588
12.94,Tofu,8,76
30.93,Whey Protein,80,400
48.63,Salmon,25,208
35.23,Salmon,25,208
25.74,Greek Yogurt,10,59
14.88,Chicken Breast,31,165
46.45,Chicken Breast,31,165
43.03,Almonds,21,579
13.09,Greek Yogurt,10,59
11.8,Almonds,21,579
42.69,Tofu,8,76
16.68,Greek Yogurt,10,59
15.38,Salmon,25,208
10.19,Whey Protein,80,400
36.71,Eggs,13,155
7.32,Chicken Breast,31,165
28.7,Greek Yogurt,10,59
27.22,Salmon,25,208
15.66,Whey Protein,80,400
27.54,Almonds,21,579
20.14,Tofu,8,76
